ATC;MEGNEV;ANGOL;HATOANYAG
P01;protozoon-ellenes szerek;antiprotozoals;
P01A;amoebiasis és egyéb protozoon elleni szerek;agents against amoebiasis and other protozoal diseases;
P01AA;hidroxikinolin-származékok;hydroxyquinoline derivatives;
P01AA01;broxyquinoline;broxyquinoline;broxyquinoline
P01AA02;clioquinol;clioquinol;clioquinol
P01AA04;chlorquinaldol;chlorquinaldol;chlorquinaldol
P01AA05;tilbroquinol;tilbroquinol;tilbroquinol
P01AA52;clioquinol, combinations;clioquinol, combinations;clioquinol, combinations
P01AB;nitroimidazol-származékok;nitroimidazole derivatives;
P01AB01;metronidazol;metronidazole;metronidazol
P01AB02;tinidazol;tinidazole;tinidazol
P01AB03;ornidazole;ornidazole;ornidazole
P01AB04;azanidazole;azanidazole;azanidazole
P01AB05;propenidazole;propenidazole;propenidazole
P01AB06;nimorazole;nimorazole;nimorazole
P01AB07;secnidazole;secnidazole;secnidazole
P01AC;dikloroacetamid-származékok;dichloroacetamide derivatives;
P01AC01;diloxanide;diloxanide;diloxanide
P01AC02;clefamide;clefamide;clefamide
P01AC03;etofamide;etofamide;etofamide
P01AC04;teclozan;teclozan;teclozan
P01AR;arzén vegyületek;arsenic compounds;
P01AR01;arsthinol;arsthinol;arsthinol
P01AR02;difetarsone;difetarsone;difetarsone
P01AR03;glycobiarsol;glycobiarsol;glycobiarsol
C01DX18;linsidomine;linsidomine;linsidomine
C01DX51;itramin tosilate, combinations;itramin tosilate, combinations;itramin tosilate, combinations
C01DX52;prenylamine, combinations;prenylamine, combinations;prenylamine, combinations
C01DX53;oxyfedrine, combinations;oxyfedrine, combinations;oxyfedrine, combinations
C01DX54;benziodarone, combinations;benziodarone, combinations;benziodarone, combinations
C01E;egyéb szívszerek;other cardiac preparations;
C01EA;prosztaglandinok;prostaglandins;
C01EA01;alprostadil;alprostadil;alprostadil
C01EB;egyéb szívszerek;other cardiac preparations;
C01EB02;camphora;camphora;camphora
C01EB03;indometacin;indometacin;indometacin
C01EB04;crataegus glycosides;crataegus glycosides;crataegus glycosides
C01EB05;creatinolfosfate;creatinolfosfate;creatinolfosfate
C01EB06;fosfocreatine;fosfocreatine;fosfocreatine
C01EB07;fructose 1,6-diphosphate;fructose 1,6-diphosphate;fructose 1,6-diphosphate
C01EB09;ubidecarenone;ubidecarenone;ubidecarenone
C01EB10;adenozin;adenozin;adenozin
C01EB11;tiracizine;tiracizine;tiracizine
C01EB12;tedisamil;tedisamil;tedisamil
C01EB13;acadesine;acadesine;acadesine
C01EB15;trimetazidine;trimetazidine;trimetazidine
C01EX;egyéb kombinált szívszerek;other cardiac combination products;
C02;vérnyomáscsökkentők;antihypertensives;
C02A;központi hatású antiadrenerg szerek;antiadrenergic agents, centrally acting;
C02AA;rauwolfia alkaloidok;rauwolfia alkaloids;
C02AA01;rescinnamine;rescinnamine;rescinnamine
C02AA02;reserpine;reserpine;reserpine
C02AA03;combinations of rauwolfia alkaloids;combinations of rauwolfia alkaloids;combinations of rauwolfia alkaloids
C02AA04;rauwolfia alkaloids, whole root;rauwolfia alkaloids, whole root;rauwolfia alkaloids, whole root
C02AA05;deserpidine;deserpidine;deserpidine
C02AA06;methoserpidine;methoserpidine;methoserpidine
C02AA07;bietaserpine;bietaserpine;bietaserpine
C02AA52;reserpine, combinations;reserpine, combinations;reserpine, combinations
C02AA53;combinations of rauwolfia alkoloids, combinations;combinations of rauwolfia alkoloids, combinations;combinations of rauwolfia alkoloids, combinations
C02AA57;bietaserpine, combinations;bietaserpine, combinations;bietaserpine, combinations
C02AB;methyldopa;methyldopa;
C02AB01;metildopa;methyldopa (levorotatory);metildopa
C02AB02;methyldopa (racemic);methyldopa (racemic);methyldopa (racemic)
C02AC;imidazolin receptor antagonisták;imidazoline receptor agonists;
C02AC01;clonidine;clonidine;clonidine
C02AC02;guanfacin;guanfacine;guanfacin
L01XE09;temsirolimus;temsirolimus;temsirolimus
M09A;a váz- és izomrendszer betegségeinek egyéb gyógyszerei;other drugs for disorders of the musculo-skeletal system;
M09AA;quinine and derivatives;quinine and derivatives;
M09AA01;hydroquinine;hydroquinine;hydroquinine
M09AA72;quinine, combinations with psycholeptics;quinine, combinations with psycholeptics;quinine, combinations with psycholeptics
M09AB;enzymes;enzymes;
M09AB01;chymopapain;chymopapain;chymopapain
M09AB52;trypsin, combinations;trypsin, combinations;trypsin, combinations
M09AX;egyéb készítmények;other drugs for disorders of the musculo-skeletal system;
M09AX01;hialuronsav;hyaluronic acid;hialuronsav
M09AX02;chondroitin-szulfát;chondroitin sulfate;chondroitin-szulfát
M09AX18;glucosamin;;glucosamin
M09AX19;extr.cartilaginis, extr.medullae ossium;;extr.cartilaginis, extr.medullae ossium
N;idegrendszer;nervous system;
N01;érzéstelenítők;anesthetics;
N01A;általános érzéstelenítők;anesthetics, general;
N01AA;éterek;ethers;
N01AA01;diethyl ether;diethyl ether;diethyl ether
N01AA02;vinyl ether;vinyl ether;vinyl ether
N01AB;halogénezett szénhidrogének;halogenated hydrocarbons;
N01AB01;halotán;halothane;halotán
N01AB02;chloroform;chloroform;chloroform
N01AB03;methoxyflurane;methoxyflurane;methoxyflurane
N01AB04;enflurane;enflurane;enflurane
N01AB05;trichloroethylene;trichloroethylene;trichloroethylene
N01AB06;izoflurán;izoflurán;izoflurán
N01AB07;desflurane;desflurane;desflurane
N01AB08;sevoflurane;sevoflurane;sevoflurane
N01AF;egykomponensű barbiturátok;barbiturates, plain;
N01AF01;metohexital;methohexital;metohexital
N01AF02;hexobarbital;hexobarbital;hexobarbital
N01AF03;tiopentál;thiopental;tiopentál
N01AG;barbiturátok kombinációi más gyógyszerekkel;barbiturates in combination with other drugs;
N01AG01;narcobarbital;narcobarbital;narcobarbital
N01AH;opioid érzéstelenítők;opioid anesthetics;
N01AH01;fentanyl;fentanyl;fentanyl
N01AH02;alfentanyl;alfentanyl;alfentanyl
N01AH03;sufentanyl;sufentanyl;sufentanyl
N01AH04;phenoperidine;phenoperidine;phenoperidine
N01AH05;anileridine;anileridine;anileridine
N01AH06;remifentanyl;remifentanyl;remifentanyl
N01AH51;fentanyl kombinációi;fentanyl, combinations;fentanyl kombinációi
N01AX;egyéb általános érzéstelenítők;other general anesthetics;
N01AX01;droperidol;droperidol;droperidol
N01AX03;ketamin;ketamine;ketamin
N01AX04;propanidid;propanidid;propanidid
N01AX05;alfaxalone;alfaxalone;alfaxalone
N01AX07;etomidate;etomidate;etomidate
N01AX10;propofol;propofol;propofol
N01AX11;hydroxybutyric acid;hydroxybutyric acid;hydroxybutyric acid
N01AX13;nitrous oxide;nitrous oxide;nitrous oxide
N01AX14;esketamine;esketamine;esketamine
N01B;helyi érzéstelenítők;anesthetics, local;
N01BA;amino-benzoesav észterek;esters of aminobenzoic acid;
N01BA01;metabutethamine;metabutethamine;metabutethamine
N01BA02;prokain;procaine;prokain
N01BA03;tetracaine;tetracaine;tetracaine
N01BA04;chloroprocaine;chloroprocaine;chloroprocaine
N01BA05;benzocaine;benzocaine;benzocaine
R03CA52;efedrin kombinációk;;alfa és béta adrenoreceptor agonisták, k.m.n.
R03CB;nem szelektív béta-adrenerg receptor agonisták;non-selective beta-adrenoreceptor agonists;
R03CB01;isoprenaline;isoprenaline;isoprenaline
R03CB02;methoxyphenamine;methoxyphenamine;methoxyphenamine
R03CB03;orciprenailn;orciprenaline;orciprenailn
R03CB51;isoprenaline, combinations;isoprenaline, combinations;isoprenaline, combinations
R03CB53;orciprenaline, combinations;orciprenaline, combinations;orciprenaline, combinations
R03CC;szelektív béta2-adrenerg receptor agonisták;selective beta-2-adrenoreceptor agonists;
R03CC02;szalbutamol;szalbutamol;szalbutamol
R03CC03;terbutalin;terbutaline;terbutalin
R03CC04;fenoterol;fenoterol;fenoterol
R03CC05;hexoprenaline;hexoprenaline;hexoprenaline
R03CC06;isoetarine;isoetarine;isoetarine
R03CC07;pirbuterol;pirbuterol;pirbuterol
R03CC08;procaterol;procaterol;procaterol
R03CC09;tretoquinol;tretoquinol;tretoquinol
R03CC10;carbuterol;carbuterol;carbuterol
R03CC11;tulobuterol;tulobuterol;tulobuterol
R03CC12;bambuterol;bambuterol;bambuterol
R03CC13;klenbuterol;klenbuterol;klenbuterol
R03CC14;reproterol;reproterol;reproterol
R03CC53;terbutaline, combinations;terbutaline, combinations;terbutaline, combinations
R03CK;adrenergek és más asthma elleni szerek;adrenergics and other anti-asthmatics;
R03D;egyéb szisztémás asthma-ellenes szerek;other anti-asthmatics for systemic use;
R03DA;xantinek;xanthines;
R03DA01;diprophylline;diprophylline;diprophylline
R03DA02;choline theophyllinate;choline theophyllinate;choline theophyllinate
R03DA03;proxyphylline;proxyphylline;proxyphylline
R03DA04;teofillin;theophylline;teofillin
R03DA05;aminofillin;aminophylline;aminofillin
R03DA06;etamiphylline;etamiphylline;etamiphylline
R03DA07;theobromine;theobromine;theobromine
R03DA08;bamifylline;bamifylline;bamifylline
R03DA09;acefylline piperazine;acefylline piperazine;acefylline piperazine
R03DA10;bufylline;bufylline;bufylline
R03DA11;doxofylline;doxofylline;doxofylline
R03DA20;combinations of xanthines;combinations of xanthines;combinations of xanthines
R03DA51;diprophylline, combinations;diprophylline, combinations;diprophylline, combinations
C03XA01;tolvaptan;tolvaptan;tolvaptan
R03BB05;aklidinium;aclidinium bromide;aklidinium
A03A;szintetikus görcsoldók és antikolinerg szerek;synthetic antispasmodic and anticholinergic agents;
A03AA;szintetikus antikolinerg szerek, észterek tercier amino-csoporttal;synthetic anticholinergics, esters with tertiary amino group;
A03AA01;oxyphencyclimine;oxyphencyclimine;oxyphencyclimine
A03AA03;camylofin;camylofin;camylofin
A03AA04;mebeverine;mebeverine;mebeverine
A03AA05;trimebutin;trimebutine;trimebutin
A03AA06;rociverine;rociverine;rociverine
A03AA07;dicycloverine;dicycloverine;dicycloverine
A03AA08;dihexyverine;dihexyverine;dihexyverine
A03AA09;difemerine;difemerine;difemerine
A03AA30;piperidolate;piperidolate;piperidolate
A03AB;szintetikus antikolinerg szerek, kvaterner ammónium-vegyületek;synthetic anticholinergics, quaternary ammonium compounds;
A03AB01;benzilone;benzilone;benzilone
A03AB02;glycopyrronium;glycopyrronium;glycopyrronium
A03AB03;oxyphenonium;oxyphenonium;oxyphenonium
A03AB04;penthienate;penthienate;penthienate
A03AB05;propantheline;propantheline;propantheline
A03AB06;otilonium bromide;otilonium bromide;otilonium bromide
A03AB07;methantheline;methantheline;methantheline
A03AB08;tridihexethyl;tridihexethyl;tridihexethyl
A03AB09;isopropamide;isopropamide;isopropamide
A03AB10;hexocyclium;hexocyclium;hexocyclium
A03AB11;poldine;poldine;poldine
A03AB12;mepenzolate;mepenzolate;mepenzolate
A03AB13;bevonium;bevonium;bevonium
A03AB14;pipenzolate;pipenzolate;pipenzolate
A03AB15;diphemanil;diphemanil;diphemanil
A03AB16;(2-benzhydryloxyethyl)diethyl-methylammonium iodide;(2-benzhydryloxyethyl)diethyl-methylammonium iodide;(2-benzhydryloxyethyl)diethyl-methylammonium iodide
A03AB17;tiemonium iodide;tiemonium iodide;tiemonium iodide
A03AB18;prifinium bromide;prifinium bromide;prifinium bromide
A03AB19;timepidium bromide;timepidium bromide;timepidium bromide
A03AB20;trospium;trospium;trospium
A03AB21;fenpiverinium;fenpiverinium;fenpiverinium
A03AB53;oxyphenonium kombinációi;oxyphenonium, combinations;oxyphenonium kombinációi
A03AC;szintetikus györcsoldók, amidok tercier aminokkal;synthetic antispasmodics, amides with tertiary amines;
A03AC02;dimethylaminopropionylphenothiazine;dimethylaminopropionylphenothiazine;dimethylaminopropionylphenothiazine
A03AC04;nicofetamide;nicofetamide;nicofetamide
A03AC05;tiropramide;tiropramide;tiropramide
A03AD;papaverin és származékai;papaverine and derivatives;
A03AD01;papaverin;papaverine;papaverin
A03AD02;drotaverin;drotaverine;drotaverin
A03AD30;moxaverine;moxaverine;moxaverine
A03AD51;papaverin kombinációk;;papaverin kombinációk
A03AD52;drotaverin kombinációk;;drotaverin kombinációk
A03AX;egyéb szintetikus antikolinerg szerek;other synthetic anticholinergic agents;
A03AX01;fenpiprane;fenpiprane;fenpiprane
A03AX02;diisopromine;diisopromine;diisopromine
A03AX03;chlorbenzoxamine;chlorbenzoxamine;chlorbenzoxamine
A03AX04;pinaverin;pinaverin;pinaverin
A03AX05;fenoverine;fenoverine;fenoverine
A03AX06;idanpramine;idanpramine;idanpramine
A03AX07;proxazole;proxazole;proxazole
A03AX08;alverine;alverine;alverine
A03AX09;trepibutone;trepibutone;trepibutone
A03AX10;isometheptene;isometheptene;isometheptene
A03AX11;caroverine;caroverine;caroverine
A03AX30;trimethyldiphenylpropylamine;trimethyldiphenylpropylamine;trimethyldiphenylpropylamine
A03AX58;alverin kombinációi;alverine, combinations;alverin kombinációi
A03B;belladonna és származékai, önmagukban;belladonna and derivatives, plain;
A03BA;belladonna alkaloidok, tercier aminok;belladonna alkaloids, tertiary amines;
A03BA01;atropin;atropine;atropin
A03BA03;hyoscyamine;hyoscyamine;hyoscyamine
A03BA04;belladonna total alkaloids;belladonna total alkaloids;belladonna total alkaloids
A03BB;félszintetikus belladonna alkaloidok, kvaterner ammónium-vegyületek;belladonna alkaloids, semisynthetic, quaternary ammonium compounds;
A03BB01;butylscopolamine;butylscopolamine;butylscopolamine
A03BB02;methylatropine;methylatropine;methylatropine
A03BB03;methylscopolamine;methylscopolamine;methylscopolamine
A03BB04;fentonium;fentonium;fentonium
A03BB05;cimetropium bromide;cimetropium bromide;cimetropium bromide
A03C;görcsoldók és pszicholeptikumok kombinációi;antispasmodics in combination with psycholeptics;
A03CA;szintetikus antikolinerg szerek és pszicholeptikumok kombinációi;synthetic anticholinergic agents in combination with psycholeptics;
A03CA01;izopropamid - psziholeptikum kombinációk;isopropamide and psycholeptics;izopropamid - psziholeptikum kombinációk
A03CA02;clidinium and psycholeptics;clidinium and psycholeptics;clidinium and psycholeptics
A03CA03;oxyphencyclimine and psycholeptics;oxyphencyclimine and psycholeptics;oxyphencyclimine and psycholeptics
A03CA04;otilonium bromide and psycholeptics;otilonium bromide and psycholeptics;otilonium bromide and psycholeptics
A06AB20;contact laxatives in combination;contact laxatives in combination;contact laxatives in combination
A06AB30;kontakt hashajtók és belladonna alkaloidok  kombinációi;contact laxatives in combination with belladonna alkaloids;kontakt hashajtók és belladonna alkaloidok kombinációi
M04AX01;urate oxidase;urate oxidase;urate oxidase
M05;csontbetegségek kezelésének gyógyszererei;drugs for treatment of bone diseases;
M05A;a váz-izomrendszer betegségeinek egyéb gyógyszerei;;
M05AA;kinin;;
M05AB;enzimek;;
M05B;mineralizációra ható szerek;drugs affecting mineralization;
M05BA;bifoszfonátok;bisphosphonates;
M05BA01;etidronic acid;etidronic acid;etidronic acid
M05BA02;acidum clodronicum;acidum clodronicum;acidum clodronicum
A06AB53;dantron kombinációi;dantron, combinations;dantron kombinációi
A06AB56;szenna-glikozidok kombinációi;senna glycosides, combinations;szenna-glikozidok kombinációi
A06AB57;cascara kombinációi;cascara, combinations;cascara kombinációi
A06AB58;sodium picosulfate kombinációi;sodium picosulfate, combinations;sodium picosulfate kombinációi
A06AC;salakképző szerek;bulk producers;
A06AC01;ispaghula (psylla seeds);ispaghula (psylla seeds);ispaghula (psylla seeds)
A06AC02;ethulose;ethulose;ethulose
A06AC03;sterculia;sterculia;sterculia
A06AC05;linseed;linseed;linseed
A06AC06;methylcellulose;methylcellulose;methylcellulose
A06AC07;triticum (wheat fibre);triticum (wheat fibre);triticum (wheat fibre)
A06AC08;polycarbophil calcium;polycarbophil calcium;polycarbophil calcium
A06AC51;ispaghula kombinációi;ispaghula, combinations;ispaghula kombinációi
A06AC53;sterculia kombinációi;sterculia, combinations;sterculia kombinációi
A06AC55;linseed kombinációi;linseed, combinations;linseed kombinációi
A06AD;ozmotikusan ható hashajtók;osmotically acting laxatives;
A06AD01;magnesium carbonate;magnesium carbonate;magnesium carbonate
A06AD02;magnesium oxide;magnesium oxide;magnesium oxide
A06AD03;magnesium peroxide;magnesium peroxide;magnesium peroxide
A06AD04;magnesium sulfate;magnesium sulfate;magnesium sulfate
A06AD10;mineral salts in combination;mineral salts in combination;mineral salts in combination
A06AD11;laktulóz;lactulose;laktulóz
A06AD12;lactitol;lactitol;lactitol
A06AD13;sodium sulfate;sodium sulfate;sodium sulfate
A06AD14;pentaerithrityl;pentaerithrityl;pentaerithrityl
A06AD15;macrogol;macrogol;macrogol
A06AD16;mannitol;mannitol;mannitol
A06AD17;sodium phosphate;sodium phosphate;sodium phosphate
A06AD18;sorbitol;sorbitol;sorbitol
A06AD61;lactulos kombinációi;lactulose, combinations;lactulos kombinációi
A06AD65;macrogol kombinációi;macrogol, combinations;macrogol kombinációi
A06AG;beöntések;enemas;
A06AG01;sodium phosphate;sodium phosphate;sodium phosphate
A06AG02;bisacodyl;bisacodyl;bisacodyl
A06AG03;dantron és kombinációi;dantron, incl. combinations;dantron és kombinációi
A06AG04;glycerol;glycerol;glycerol
A06AG06;oil;oil;oil
A06AG07;sorbitol;sorbitol;sorbitol
A06AG10;docusate sodium és kombinációi;docusate sodium, incl. combinations;docusate sodium és kombinációi
A06AG11;nártium-laurilszulfát és kombinációi;laurilsulfate, incl. combinations;nártium-laurilszulfát és kombinációi
A06AG20;beöntés kombinációk;combinations;beöntés kombinációk
A06AX;egyéb hashajtók;other laxatives;
A06AX01;glicerin;glicerin;glicerin
A06AX02;carbon dioxide producing drugs;carbon dioxide producing drugs;carbon dioxide producing drugs
A06AX20;egyéb hashajtó kombinációk;;egyéb hashajtó kombinációk
A07;hasmenés, valamint bélgyulladás és fertőzés elleni szerek;antidiarrheals, intestinal antiinflammatory/antiinfective agents;
A07A;bélfertőtlenítők;intestinal antiinfectives;
A07AA;antibiotikumok;antibiotics;
A07AA01;neomycin;neomycin;neomycin
A07AA02;nisztatin;nystatin;nisztatin
A07AA03;natamycin;natamycin;natamycin
A07AA04;streptomycin;streptomycin;streptomycin
A07AA05;polymyxin b;polymyxin b;polymyxin b
A07AA06;paromomycin;paromomycin;paromomycin
A07AA07;amphotericin b;amphotericin b;amphotericin b
A07AA08;kanamycin;kanamycin;kanamycin
A07AA09;vancomycin;vancomycin;vancomycin
A07AA10;colistin;colistin;colistin
A07AA11;rifaximin;rifaximin;rifaximin
A07AA51;neomycin kombinációk;neomycin, combinations;neomycin kombinációk
A07AA54;streptomycin kombinációk;streptomycin, combinations;streptomycin kombinációk
A07AB;szulfonamidok;sulfonamides;
A07AB02;phthalylsulfathiazole;phthalylsulfathiazole;phthalylsulfathiazole
A07AB03;szulfaguanidin;szulfaguanidin;szulfaguanidin
A07AB04;succinylsulfathiazole;succinylsulfathiazole;succinylsulfathiazole
A07AC;imidazol származékok;imidazole derivatives;
A07AC01;miconazole;miconazole;miconazole
A07AX;egyéb bélfertőtlenítők;other intestinal antiinfectives;
A07AX01;broxyquinoline;broxyquinoline;broxyquinoline
A07AX02;acetarsol;acetarsol;acetarsol
A07AX03;nifuroxazide;nifuroxazide;nifuroxazide
A07AX04;nifurzide;nifurzide;nifurzide
A07AX30;bélfertőtlenítő kombinációk;;bélfert?tlenít? kombinációk
A07B;bél adszorbensek;intestinal adsorbents;
A07BA;szén-készítmények;charcoal preparations;
A07BA01;aktiv szén;medicinal charcoal;aktiv szén
A07BA51;aktiv szén kombinációi;medicinal charcoal, combinations;aktiv szén kombinációi
A07BB;bizmut-készítmények;bismuth preparations;
A07BB19;bizmut-szubgallát, komb.;;bizmut-szubgallát, komb.
A07BC;egyéb bél adszorbensek;other intestinal adsorbents;
A07BC01;pectin;pectin;pectin
A07BC02;kaolin;kaolin;kaolin
A07BC03;crospovidone;crospovidone;crospovidone
A07BC04;attapulgit;attapulgite;attapulgit
A07BC05;diosmectite;diosmectite;diosmectite
A07BC19;diosmectit;;diosmectit
A07BC30;egyéb bél adszorbensek kombinációi;combinations;egyéb bél adszorbensek kombinációi
A07BC54;attapulgit kombinációi;attapulgite, combinations;attapulgit kombinációi
A07C;elektrolitok szénhidráttal;electrolytes with carbohydrates;
A07CA;orális folyadékpótló sókészítmények;oral rehydration salt formulations;orális folyadékpótló sókészítmények
A07D;bélmotilitást csökkentő szerek;antipropulsives;
A07DA;bélmotilitást csökkentő szerek;antipropulsives;
A07DA01;difenoxilát;diphenoxylate;difenoxilát
A07DA02;opium;opium;opium
A07DA03;loperamid;loperamide;loperamid
A07DA04;difenoxin;difenoxin;difenoxin
A07DA05;loperamide oxide;loperamide oxide;loperamide oxide
A07DA52;morphin kombinációi;morphine, combinations;morphin kombinációi
A07DA53;loperamid kombinációi;loperamide, combinations;loperamid kombinációi
A07E;bélre ható gyulladásgátló szerek;intestinal antiinflammatory agents;
A07EA;kortikoszteroidok lokális használatra;corticosteroids for local use;
A07EA01;prednisolon;prednisolone;prednisolon
A07EA02;hydrocortison;hydrocortisone;hydrocortison
A07EA03;prednison;prednisone;prednison
A07EA04;betamethason;betamethasone;betamethason
A07EA05;tixocortol;tixocortol;tixocortol
A07EA06;budesonid;budesonide;budesonid
A07EA07;beclometason;beclometasone;beclometason
A07EB;allergiaellenes szerek kivéve a kortikoszteroidokat;antiallergic agents, excl. corticosteroids;
C02LA07;bietaserpine and diuretics;bietaserpine and diuretics;bietaserpine and diuretics
C02LA08;rauwolfia alkaloids, whole root and diuretics;rauwolfia alkaloids, whole root and diuretics;rauwolfia alkaloids, whole root and diuretics
C02LA09;syrosingopine and diuretics;syrosingopine and diuretics;syrosingopine and diuretics
C02LA50;comb. of rauwolfia alkaloids and diuretics incl. other combinations;comb. of rauwolfia alkaloids and diuretics incl. other combinations;comb. of rauwolfia alkaloids and diuretics incl. other combinations
C02LA51;reserpine and diuretics, combinations with other drugs;reserpine and diuretics, combinations with other drugs;reserpine and diuretics, combinations with other drugs
C02LA52;rescinnamine and diuretics, combinations with other drugs;rescinnamine and diuretics, combinations with other drugs;rescinnamine and diuretics, combinations with other drugs
C02LA71;reserpine and diuretics, combinations with psycholeptics;reserpine and diuretics, combinations with psycholeptics;reserpine and diuretics, combinations with psycholeptics
C02LB;methyldopa és vizelethajtók kombinációi;methyldopa and diuretics in combination;
C02LB01;methyldopa (levorotatory) and diuretics;methyldopa (levorotatory) and diuretics;methyldopa (levorotatory) and diuretics
C02LC;clonidin és analógjai vizelethajtóval kombinálva;imidazoline receptor agonists in combination with diuretics;
C02LC01;clonidine and diuretics;clonidine and diuretics;clonidine and diuretics
C02LC51;clonidine and diuretics, combinations with other drugs;clonidine and diuretics, combinations with other drugs;clonidine and diuretics, combinations with other drugs
C02LD;alfa- és béta-adrenerg receptor blokkolók és vizelethajtók kombinációi;;
C02LE;alfa-adrenerg receptor blokkolók vizelethajtókkal kombinálva;alpha-adrenoreceptor antagonists and diuretics;
C02LE01;prazosin and diuretics;prazosin and diuretics;prazosin and diuretics
C02LF;guanidin származékok és vizelethajtók;guanidine derivatives and diuretics;
C02LF01;guanethidine and diuretics;guanethidine and diuretics;guanethidine and diuretics
C02LG;hydrazinophtalazin származékok és vizelethajtók;hydrazinophthalazine derivatives and diuretics;
C02LG01;dihydralazine and diuretics;dihydralazine and diuretics;dihydralazine and diuretics
C02LG02;hydralazine and diuretics;hydralazine and diuretics;hydralazine and diuretics
C02LG03;picodralazine and diuretics;picodralazine and diuretics;picodralazine and diuretics
C02LG51;dihydralazine and diuretics, combinations with other drugs;dihydralazine and diuretics, combinations with other drugs;dihydralazine and diuretics, combinations with other drugs
C02LG73;picodralazine and diuretics, combinations with psycholeptics;picodralazine and diuretics, combinations with psycholeptics;picodralazine and diuretics, combinations with psycholeptics
C02LI;kalcium-antagonisták és vizelethajtók;;
C02LK;alkaloidok (kivéve rauwolfia) és vizelethajtók;alkaloids, excl. rauwolfia, in combination with diuretics;
C02LK01;veratrum and diuretics;veratrum and diuretics;veratrum and diuretics
C02LL;mono-amino-oxidáz gátlók (mao-inhibítorok) és vizelethajtók;mao inhibitors and diuretics;
C02LL01;pargyline and diuretics;pargyline and diuretics;pargyline and diuretics
C02LM;konvertáló enzimet blokkolók (ace-gátlók) és vizelethajtók;;
C02LN;szerotonin antagonisták és vizelethajtók;serotonin antagonists and diuretics;
C02LX;other antihypertensives and diuretics;other antihypertensives and diuretics;
C02LX01;pinacidil and diuretics;pinacidil and diuretics;pinacidil and diuretics
C02N;vérnyomáscsökkentö kombinációk;combinations of antihypertensives in atc-gr. c02;
C03;vizelethajtók;diuretics;
C03A;mérsékelt hatású vizelethajtók - thiazidok;low-ceiling diuretics, thiazides;
C03AA;egykomponensű thiazidok;thiazides, plain;
C03AA01;bendroflumethiazide;bendroflumethiazide;bendroflumethiazide
C03AA02;hydroflumethiazide;hydroflumethiazide;hydroflumethiazide
C03AA03;hidroklorotiazid;hydrochlorothiazide;hidroklorotiazid
C03AA04;chlorothiazide;chlorothiazide;chlorothiazide
C03AA05;polythiazide;polythiazide;polythiazide
C03AA06;trichlormethiazide;trichlormethiazide;trichlormethiazide
C03AA07;cyclopenthiazide;cyclopenthiazide;cyclopenthiazide
C03AA08;methyclothiazide;methyclothiazide;methyclothiazide
C03AA09;cyclothiazide;cyclothiazide;cyclothiazide
C03AA13;mebutizide;mebutizide;mebutizide
C03AB;thiazid és kálium kombinációi;thiazides and potassium in combination;
C03AB01;bendroflumethiazide and potassium;bendroflumethiazide and potassium;bendroflumethiazide and potassium
C03AB02;hydroflumethiazide and potassium;hydroflumethiazide and potassium;hydroflumethiazide and potassium
C03AB03;hydrochlorothiazide and potassium;hydrochlorothiazide and potassium;hydrochlorothiazide and potassium
C03AB04;chlorothiazide and potassium;chlorothiazide and potassium;chlorothiazide and potassium
C03AB05;polythiazide and potassium;polythiazide and potassium;polythiazide and potassium
C03AB06;trichlormethiazide and potassium;trichlormethiazide and potassium;trichlormethiazide and potassium
C03AB07;cyclopenthiazide and potassium;cyclopenthiazide and potassium;cyclopenthiazide and potassium
C03AB08;methyclothiazide and potassium;methyclothiazide and potassium;methyclothiazide and potassium
C03AB09;cyclothiazide and potassium;cyclothiazide and potassium;cyclothiazide and potassium
C03AH;thiazid és pszicholeptikum és/vagy fájdalomcsillapítók kombinációi;thiazides, combinations with psycholeptics and/or analgesics;
C03AH01;chlorothiazide, combinations;chlorothiazide, combinations;chlorothiazide, combinations
C03AH02;hydroflumethiazide, combinations;hydroflumethiazide, combinations;hydroflumethiazide, combinations
C03AX;thiazid kombinációi egyéb szerekkel;thiazides, combinations with other drugs;
C03AX01;hydrochlorothiazide, combinations;hydrochlorothiazide, combinations;hydrochlorothiazide, combinations
C03B;mérsékelt hatású vizelethajtók - thiazidok kivételével;low-ceiling diuretics, excl. thiazides;
C03BA;egykomponensű szulfonamidok;sulfonamides, plain;
C03BA02;quinethazone;quinethazone;quinethazone
C03BA03;klopamid;klopamid;klopamid
C03BA04;klórtalidon;chlortalidone;klórtalidon
C03BA05;mefruside;mefruside;mefruside
C03BA07;clofenamide;clofenamide;clofenamide
C03BA08;metolazone;metolazone;metolazone
C03BA09;meticrane;meticrane;meticrane
C03BA10;xipamide;xipamide;xipamide
C03BA11;indapamide;indapamide;indapamide
C03BA12;clorexolone;clorexolone;clorexolone
C03BA13;fenquizone;fenquizone;fenquizone
C03BA82;clorexolone, comb. with psycholeptics;clorexolone, comb. with psycholeptics;clorexolone, comb. with psycholeptics
C03BB;szulfonamid és kálium kombinációi;sulfonamides and potassium in combination;
C03BB02;quinethazone and potassium;quinethazone and potassium;quinethazone and potassium
C03BB03;clopamide and potassium;clopamide and potassium;clopamide and potassium
C03BB04;chlortalidone and potassium;chlortalidone and potassium;chlortalidone and potassium
C03BB05;mefruside and potassium;mefruside and potassium;mefruside and potassium
C03BB07;clofenamide and potassium;clofenamide and potassium;clofenamide and potassium
